Number of Cells,CPU Time(ms),GPU Time(ms)
100,0.801088,3.64563
400,3.73853,4.16768
900,7.41389,5.32842
1600,14.1637,5.65856
2500,24.0177,5.66067
3600,31.2064,5.56806
4900,42.4914,5.592
6400,59.011,5.64429
8100,77.4081,6.92026
10000,90.44,7.09018
40000,373.322,16.8202
90000,821.175,36.5052
160000,1425.03,60.5083
250000,2248.59,91.7951
360000,3245.9,128.877
490000,4435.91,173.405
640000,5927.37,224.311
810000,7582.9,264.783
1000000,9460.49,347.458
1210000,11391.6,369.246
1440000,14714.1,452.587
1690000,17032.8,519.913
1960000,20114.3,591.846
2250000,23456.4,670.122
2560000,26913.5,767.154
2890000,30654.4,861.299
3240000,34564.1,923.014
3610000,38507.8,1019.43
4000000,40470.6,1162.56
